data_id,year,product_id,food,production,import_quantity,export_quantity
0,1960,0,2193.0,1854.7,388.0,91.0
1,1960,1,208.0,6135.5,121.0,365.0
2,1960,2,2743.5,74.0,81.0,0.0
3,1960,3,17400.0,27453.0,2334.0,1674.0
4,1960,4,1545.0,1600.0,7.0,0.0
5,1960,5,1289.05,1003.0,98.0,138.4
6,1960,6,967.0,1023.0,224.0,11.0
7,1960,7,7323.0,7243.0,669.0,4.0
8,1960,8,11708.72,34523.0,3107.0,139.0
9,1960,9,21.0,7.0,9.0,0.0
10,1960,10,1513.0,1237.0,419.0,131.0
11,1960,11,701.0,3100.0,0.0,6.0
12,1960,12,1546.0,1542.0,0.0,0.0
13,1960,13,18745.0,25656.0,170.7,30.6
14,1960,14,821.0,817.0,4.0,1.0
15,1960,15,374.0,150.0,140.0,110.0
16,1960,16,5487.0,14356.0,0.0,97.0
17,1960,17,4760.0,1400.0,2300.0,344.0
18,1960,18,50.0,38.0,14.0,5.0
19,1960,19,12365.0,14134.0,150.0,17.0
20,1960,20,16300.0,30987.0,4607.0,5034.0
21,1961,0,2496.0,2003.0,344.7,89.0
22,1961,1,236.0,8992.5,135.0,407.0
23,1961,2,2864.0,120.0,67.0,0.0
24,1961,3,17600.0,29080.0,2342.0,1534.0
25,1961,4,1516.0,1649.0,9.0,0.0
26,1961,5,1176.03,933.7,110.37,140.73
27,1961,6,959.0,1010.0,212.0,9.0
28,1961,7,7313.0,7313.0,671.0,3.0
29,1961,8,12011.71,34675.0,3204.0,132.0
30,1961,9,25.0,8.0,5.0,0.0
31,1961,10,1605.0,1286.0,423.0,123.0
32,1961,11,703.0,3008.0,0.0,10.0
33,1961,12,1667.0,1704.0,0.0,0.0
34,1961,13,18945.0,27822.3,203.0,23.0
35,1961,14,817.0,813.0,5.0,1.0
36,1961,15,350.0,153.0,120.0,110.0
37,1961,16,5798.0,15044.0,0.0,109.0
38,1961,17,4745.0,1338.0,2605.0,353.0
39,1961,18,49.0,40.0,15.0,6.0
40,1961,19,12481.0,14259.0,156.0,11.0
41,1961,20,16400.0,32494.0,4706.0,5134.0
42,1962,0,2645.0,2156.3,228.5,83.0
43,1962,1,241.0,9110.0,129.0,467.0
44,1962,2,2277.0,58.0,74.0,0.0
45,1962,3,19100.0,28940.0,2143.0,1532.0
46,1962,4,1549.0,1689.0,4.0,0.0
47,1962,5,1276.69,1160.8,122.88,150.54
48,1962,6,970.0,1078.0,176.0,24.0
49,1962,7,7279.0,7285.0,694.0,1.0
50,1962,8,12310.62,35751.0,3421.0,143.0
51,1962,9,22.0,3.0,11.0,0.0
52,1962,10,1705.0,1528.0,419.0,153.0
53,1962,11,804.0,4852.0,0.0,4.0
